,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-1279,UX2029,MPV57/GA06493-13LE6,16.20.3,UX2029-36,-,.,1279,2,4/15/2022,105,,,,,,75,
Kin22-SunRilHR-1280,UX2029,MPV57/GA06493-13LE6,16.20.4,UX2029-131,+,.,1280,2,4/14/2022,104,,,,,,80,
Kin22-SunRilHR-1281,Marker,Marker,17.1.1,Barley,+,.,1281,2,4/22/2022,112,,,,,,,
Kin22-SunRilHR-1282,UX2029,MPV57/GA06493-13LE6,17.1.2,UX2029-62,-,.,1282,1,4/11/2022,101,,,,,2,55,
Kin22-SunRilHR-1283,UX2029,MPV57/GA06493-13LE6,17.1.3,UX2029-178,+,.,1283,2,4/5/2022,95,,,,,1,90,
Kin22-SunRilHR-1284,UX2029,MPV57/GA06493-13LE6,17.1.4,UX2029-99,-,.,1284,1,4/8/2022,98,,,,,0,90,
Kin22-SunRilHR-1285,UX2029,MPV57/GA06493-13LE6,17.2.1,UX2029-63,-,.,1285,2,4/13/2022,103,,,,,2,80,
Kin22-SunRilHR-1286,UX2029,MPV57/GA06493-13LE6,17.2.2,UX2029-119,+,.,1286,1,4/19/2022,109,,,,,1,80,
Kin22-SunRilHR-1287,UX2029,MPV57/GA06493-13LE6,17.2.3,UX2029-71,-,.,1287,3,4/13/2022,103,,,,,4,60,
Kin22-SunRilHR-1288,Parent,Parent,17.2.4,ARGA051160-14LE31,-,VA-510,1288,2,4/11/2022,101,,,,,1,90,
Kin22-SunRilHR-1289,Parent,Parent,17.3.1,TX12D4896,+,K-2.7.3,1289,2,4/10/2022,100,,,,,3,85,
Kin22-SunRilHR-1290,UX2029,MPV57/GA06493-13LE6,17.3.2,UX2029-37,-,.,1290,1,4/22/2022,112,,,,,2,80,
Kin22-SunRilHR-1291,Parent,Parent,17.3.3,LA09264C-P2,+,R-6.10.1,1291,1,4/1/2022,91,,,,,0,75,
Kin22-SunRilHR-1292,UX2029,MPV57/GA06493-13LE6,17.3.4,UX2029-50,+,.,1292,2,4/12/2022,102,,,,,2,80,
Kin22-SunRilHR-1293,UX2029,MPV57/GA06493-13LE6,17.4.1,UX2029-77,-,.,1293,3,4/13/2022,103,,,,,0,65,
Kin22-SunRilHR-1294,Parent,Parent,17.4.2,MPV57,-,R-12.10.1,1294,2,4/19/2022,109,,,,,0,70,
Kin22-SunRilHR-1295,UX2029,MPV57/GA06493-13LE6,17.4.3,UX2029-94,+,.,1295,4,4/13/2022,103,,,,,0,80,
Kin22-SunRilHR-1296,UX2029,MPV57/GA06493-13LE6,17.4.4,UX2029-191,+,.,1296,2,4/11/2022,101,,,,,1,65,
Kin22-SunRilHR-1297,UX2029,MPV57/GA06493-13LE6,17.5.1,UX2029-208,-,.,1297,1,4/15/2022,105,,,,,0,85,
Kin22-SunRilHR-1298,UX2029,MPV57/GA06493-13LE6,17.5.2,UX2029-129,-,.,1298,1,4/13/2022,103,,,,,0,80,
Kin22-SunRilHR-1299,UX2029,MPV57/GA06493-13LE6,17.5.3,UX2029-204,-,.,1299,2,4/13/2022,103,,,,,1,90,
Kin22-SunRilHR-1300,UX2029,MPV57/GA06493-13LE6,17.5.4,UX2029-142,+,.,1300,2,4/10/2022,100,,,,,1,85,
Kin22-SunRilHR-1301,UX2029,MPV57/GA06493-13LE6,17.6.1,UX2029-90,+,.,1301,1,4/13/2022,103,,,,,1,85,
Kin22-SunRilHR-1302,UX2029,MPV57/GA06493-13LE6,17.6.2,UX2029-38,-,.,1302,2,4/12/2022,102,,,,,1,80,
Kin22-SunRilHR-1303,Parent,Parent,17.6.3,GA06493-13LE6,+,R-14.18.2,1303,2,4/11/2022,101,,,,,0,75,
Kin22-SunRilHR-1304,UX2029,MPV57/GA06493-13LE6,17.6.4,UX2029-80,-,.,1304,2,4/13/2022,103,,,,,2,70,
Kin22-SunRilHR-1305,UX2029,MPV57/GA06493-13LE6,17.7.1,UX2029-120,+,.,1305,2,4/15/2022,105,,,,,1,65,
Kin22-SunRilHR-1306,UX2029,MPV57/GA06493-13LE6,17.7.2,UX2029-4.6,+,.,1306,1,4/18/2022,108,,,,,3,65,
Kin22-SunRilHR-1307,UX2029,MPV57/GA06493-13LE6,17.7.3,UX2029-111,+,.,1307,2,4/14/2022,104,,,,,2,70,
Kin22-SunRilHR-1308,UX2029,MPV57/GA06493-13LE6,17.7.4,UX2029-54,+,.,1308,1,4/10/2022,100,,,,,0,70,
Kin22-SunRilHR-1309,Parent,Parent,17.8.1,GA001138-8E36,+,K-1.8.4,1309,1,4/8/2022,98,,,,,0,90,
Kin22-SunRilHR-1310,UX2029,MPV57/GA06493-13LE6,17.8.2,UX2029-176,*,.,1310,1,4/15/2022,105,,,,,1,80,
Kin22-SunRilHR-1311,UX2029,MPV57/GA06493-13LE6,17.8.3,UX2029-143,+,.,1311,2,4/14/2022,104,,,,,2,80,
Kin22-SunRilHR-1312,UX2029,MPV57/GA06493-13LE6,17.8.4,UX2029-166,+,.,1312,3,4/15/2022,105,,,,,1,85,
Kin22-SunRilHR-1313,UX2029,MPV57/GA06493-13LE6,17.9.1,UX2029-110,+,.,1313,3,4/14/2022,104,,,,,2,80,
Kin22-SunRilHR-1314,UX2029,MPV57/GA06493-13LE6,17.9.2,UX2029-21,+,.,1314,2,4/13/2022,103,,,,,0,88,
Kin22-SunRilHR-1315,UX2029,MPV57/GA06493-13LE6,17.9.3,UX2029-153,-,.,1315,2,4/15/2022,105,,,,,0,85,
Kin22-SunRilHR-1316,Parent,Parent,17.9.4,GA05450-EL52,+,R-10.1.4,1316,2,4/5/2022,95,,,,,1,85,
Kin22-SunRilHR-1317,UX2029,MPV57/GA06493-13LE6,17.10.1,UX2029-206,-,.,1317,2,4/13/2022,103,,,,,0,70,
Kin22-SunRilHR-1318,UX2029,MPV57/GA06493-13LE6,17.10.2,UX2029-148,+,.,1318,2,4/14/2022,104,,,,,0,90,
Kin22-SunRilHR-1319,UX2029,MPV57/GA06493-13LE6,17.10.3,UX2029-6,+,.,1319,2,4/14/2022,104,,,,,1,70,
Kin22-SunRilHR-1320,UX2029,MPV57/GA06493-13LE6,17.10.4,UX2029-124,+,.,1320,3,4/14/2022,104,,,,,0,80,
Kin22-SunRilHR-1321,UX2029,MPV57/GA06493-13LE6,17.11.1,UX2029-15,+,.,1321,3,4/18/2022,108,,,,,1,85,
Kin22-SunRilHR-1322,Parent,Parent,17.11.2,Hilliard,+,VA-307,1322,2,4/12/2022,102,,,,,0,85,
Kin22-SunRilHR-1323,UX2029,MPV57/GA06493-13LE6,17.11.3,UX2029-28,-,.,1323,2,4/21/2022,111,,,,,0,75,
Kin22-SunRilHR-1324,UX2029,MPV57/GA06493-13LE6,17.11.4,UX2029-42,+,.,1324,1,4/5/2022,95,,,,,1,75,
Kin22-SunRilHR-1325,UX2029,MPV57/GA06493-13LE6,17.12.1,UX2029-26,+,.,1325,1,4/10/2022,100,,,,,1,90,
Kin22-SunRilHR-1326,UX2029,MPV57/GA06493-13LE6,17.12.2,UX2029-3,+,.,1326,2,4/13/2022,103,,,,,0,60,
Kin22-SunRilHR-1327,UX2029,MPV57/GA06493-13LE6,17.12.3,UX2029-205,-,.,1327,2,4/7/2022,97,,,,,0,95,
Kin22-SunRilHR-1328,Parent,Parent,17.12.4,NC08-23383,-,R-2.1.2,1328,3,4/11/2022,101,,,,,0,80,
Kin22-SunRilHR-1329,Parent,Parent,17.13.1,GA00190-7A14,+,R-17.20.1,1329,3,4/10/2022,100,,,,,1,85,
Kin22-SunRilHR-1330,UX2029,MPV57/GA06493-13LE6,17.13.2,UX2029-56,+,.,1330,2,4/8/2022,98,,,,,2,65,
Kin22-SunRilHR-1331,UX2029,MPV57/GA06493-13LE6,17.13.3,UX2029-44,*,.,1331,3,4/14/2022,104,,,,,0,75,
Kin22-SunRilHR-1332,UX2029,MPV57/GA06493-13LE6,17.13.4,UX2029-69,-,.,1332,2,4/13/2022,103,,,,,0,70,
Kin22-SunRilHR-1333,UX2029,MPV57/GA06493-13LE6,17.14.1,UX2029-190,+,.,1333,2,4/15/2022,105,,,,,0,75,
Kin22-SunRilHR-1334,UX2029,MPV57/GA06493-13LE6,17.14.2,UX2029-122,-,.,1334,3,4/14/2022,104,,,,,0,95,
Kin22-SunRilHR-1335,UX2029,MPV57/GA06493-13LE6,17.14.3,UX2029-151,+,.,1335,2,4/13/2022,103,,,,,0,65,
Kin22-SunRilHR-1336,UX2029,MPV57/GA06493-13LE6,17.14.4,UX2029-87,+,.,1336,1,4/15/2022,105,,,,,1,65,
Kin22-SunRilHR-1337,UX2029,MPV57/GA06493-13LE6,17.15.1,UX2029-123,-,.,1337,1,4/13/2022,103,,,,,2,60,
Kin22-SunRilHR-1338,UX2029,MPV57/GA06493-13LE6,17.15.2,UX2029-88,*,.,1338,2,4/12/2022,102,,,,,1,90,
Kin22-SunRilHR-1339,Parent,Parent,17.15.3,NC8248-1,+,VA-267,1339,3,3/28/2022,87,,,,,0,75,
Kin22-SunRilHR-1340,UX2029,MPV57/GA06493-13LE6,17.15.4,UX2029-58,+,.,1340,1,4/15/2022,105,,,,,1,80,
Kin22-SunRilHR-1341,UX2029,MPV57/GA06493-13LE6,17.16.1,UX2029-102,+,.,1341,2,4/12/2022,102,,,,,0,70,
Kin22-SunRilHR-1342,UX2029,MPV57/GA06493-13LE6,17.16.2,UX2029-156,+,.,1342,2,4/13/2022,103,,,,,1,80,
Kin22-SunRilHR-1343,UX2029,MPV57/GA06493-13LE6,17.16.3,UX2029-11,+,.,1343,3,4/7/2022,97,,,,,1,70,
Kin22-SunRilHR-1344,UX2029,MPV57/GA06493-13LE6,17.16.4,UX2029-173,+,.,1344,2,4/14/2022,104,,,,,1,80,
Kin22-SunRilHR-1345,UX2029,MPV57/GA06493-13LE6,17.17.1,UX2029-68,-,.,1345,2,4/9/2022,99,,,,,0,95,
Kin22-SunRilHR-1346,Parent,Parent,17.17.2,AGS2000,+,VA-472,1346,3,4/3/2022,93,,,,,0,90,
Kin22-SunRilHR-1347,UX2029,MPV57/GA06493-13LE6,17.17.3,UX2029-157,*,.,1347,2,4/11/2022,101,,,,,0,80,
Kin22-SunRilHR-1348,UX2029,MPV57/GA06493-13LE6,17.17.4,UX2029-97,-,.,1348,1,4/14/2022,104,,,,,0,60,
Kin22-SunRilHR-1349,UX2029,MPV57/GA06493-13LE6,17.18.1,UX2029-26,-,.,1349,3,4/13/2022,103,,,,,0,85,
Kin22-SunRilHR-1350,UX2029,MPV57/GA06493-13LE6,17.18.2,UX2029-198,+,.,1350,2,4/12/2022,102,,,,,0,75,
Kin22-SunRilHR-1351,Parent,Parent,17.18.3,SS8641,-,R-6.11.3,1351,2,4/11/2022,101,,,,,0,85,
Kin22-SunRilHR-1352,UX2029,MPV57/GA06493-13LE6,17.18.4,UX2029-95,-,.,1352,1,4/18/2022,108,,,,,0,60,
Kin22-SunRilHR-1353,UX2029,MPV57/GA06493-13LE6,17.19.1,UX2029-65,-,.,1353,2,4/10/2022,100,,,,,1,85,
Kin22-SunRilHR-1354,UX2029,MPV57/GA06493-13LE6,17.19.2,UX2029-34,-,.,1354,1,4/12/2022,102,,,,,1,90,
Kin22-SunRilHR-1355,UX2029,MPV57/GA06493-13LE6,17.19.3,UX2029-14,+,.,1355,2,4/9/2022,99,,,,,0,80,
Kin22-SunRilHR-1356,UX2029,MPV57/GA06493-13LE6,17.19.4,UX2029-128,-,.,1356,1,4/17/2022,107,,,,,0,85,
Kin22-SunRilHR-1357,UX2029,MPV57/GA06493-13LE6,17.20.1,UX2029-43,+,.,1357,2,4/13/2022,103,,,,,3,75,
Kin22-SunRilHR-1358,UX2029,MPV57/GA06493-13LE6,17.20.2,UX2029-39,-,.,1358,1,4/14/2022,104,,,,,0,65,
Kin22-SunRilHR-1359,UX2029,MPV57/GA06493-13LE6,17.20.3,UX2029-135,-,.,1359,2,4/10/2022,100,,,,,1,85,
Kin22-SunRilHR-1360,UX2029,MPV57/GA06493-13LE6,17.20.4,UX2029-24,-,.,1360,2,4/8/2022,98,,,,,0,75,
Kin22-SunRilHR-1361,Marker,Marker,18.1.1,Barley,+,.,1361,2,4/18/2022,108,,,,,,,
Kin22-SunRilHR-1362,UX2013,HILLIARD/GA00190-7A14,18.1.2,UX2013-232,+,.,1362,2,4/8/2022,98,,,R20,,1,90,
Kin22-SunRilHR-1363,UX2013,HILLIARD/GA00190-7A14,18.1.3,UX2013-172,+,.,1363,1,4/13/2022,103,,,S40,,0,95,
Kin22-SunRilHR-1364,UX2013,HILLIARD/GA00190-7A14,18.1.4,UX2013-149,+,.,1364,2,4/7/2022,97,,,R10,,0,85,
Kin22-SunRilHR-1365,UX2013,HILLIARD/GA00190-7A14,18.2.1,UX2013-248,+,.,1365,1,4/8/2022,98,,,S40,,0,95,
Kin22-SunRilHR-1366,UX2013,HILLIARD/GA00190-7A14,18.2.2,UX2013-187,+,.,1366,2,4/3/2022,93,,,R10,,0,90,
Kin22-SunRilHR-1367,UX2013,HILLIARD/GA00190-7A14,18.2.3,UX2013-160,+,.,1367,2,4/12/2022,102,,,M30,,1,90,
Kin22-SunRilHR-1368,Parent,Parent,18.2.4,ARGA051160-14LE31,-,GA-81930,1368,2,4/11/2022,101,,,R,,1,95,
Kin22-SunRilHR-1369,UX2013,HILLIARD/GA00190-7A14,18.3.1,UX2013-183,+,.,1369,2,4/8/2022,98,,,R20,,0,90,
Kin22-SunRilHR-1370,Parent,Parent,18.3.2,GA06493-13LE6,+,GA-81738,1370,2,4/13/2022,103,,,R,,0,90,
Kin22-SunRilHR-1371,UX2013,HILLIARD/GA00190-7A14,18.3.3,UX2013-236,+,.,1371,2,4/9/2022,99,,,R20,,0,85,
Kin22-SunRilHR-1372,UX2013,HILLIARD/GA00190-7A14,18.3.4,UX2013-182,+,.,1372,2,4/9/2022,99,,,R30,,0,90,
Kin22-SunRilHR-1373,UX2013,HILLIARD/GA00190-7A14,18.4.1,UX2013-151,+,.,1373,2,4/15/2022,105,,,R10,,0,80,
Kin22-SunRilHR-1374,UX2013,HILLIARD/GA00190-7A14,18.4.2,UX2013-154,+,.,1374,2,4/8/2022,98,,,S60,,0,75,
Kin22-SunRilHR-1375,Parent,Parent,18.4.3,TX12D4896,+,R-19.1.4,1375,3,4/6/2022,96,,,R,,2,85,
Kin22-SunRilHR-1376,UX2013,HILLIARD/GA00190-7A14,18.4.4,UX2013-202,+,.,1376,2,4/9/2022,99,,,R10,,0,85,
Kin22-SunRilHR-1377,UX2013,HILLIARD/GA00190-7A14,18.5.1,UX2013-233,+,.,1377,1,4/12/2022,102,,,R30,,1,90,
Kin22-SunRilHR-1378,UX2013,HILLIARD/GA00190-7A14,18.5.2,UX2013-161,+,.,1378,2,4/8/2022,98,,,R,,0,90,
Kin22-SunRilHR-1379,UX2013,HILLIARD/GA00190-7A14,18.5.3,UX2013-194,+,.,1379,1,4/13/2022,103,,,R10,,1,85,
Kin22-SunRilHR-1380,UX2013,HILLIARD/GA00190-7A14,18.5.4,UX2013-144,+,.,1380,3,4/5/2022,95,,,R20,,1,85,
Kin22-SunRilHR-1381,Parent,Parent,18.6.1,NC8248-1,+,R-5.1.4,1381,4,4/1/2022,91,,,R10,,,85,
Kin22-SunRilHR-1382,UX2013,HILLIARD/GA00190-7A14,18.6.2,UX2013-218,+,.,1382,1,4/13/2022,103,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-1382_picture_1_2022-05-05-01-53-54.jpg,40,,,95,
Kin22-SunRilHR-1383,UX2013,HILLIARD/GA00190-7A14,18.6.3,UX2013-174,+,.,1383,2,4/8/2022,98,,,R,,,90,
Kin22-SunRilHR-1384,UX2013,HILLIARD/GA00190-7A14,18.6.4,UX2013-219,+,.,1384,1,4/13/2022,103,,,S40,,,80,
Kin22-SunRilHR-1385,UX2013,HILLIARD/GA00190-7A14,18.7.1,UX2013-238,+,.,1385,1,4/17/2022,107,,,R,,,85,
Kin22-SunRilHR-1386,UX2013,HILLIARD/GA00190-7A14,18.7.2,UX2013-190,+,.,1386,2,4/12/2022,102,,,S40,,,85,
Kin22-SunRilHR-1387,UX2013,HILLIARD/GA00190-7A14,18.7.3,UX2013-221,+,.,1387,2,4/7/2022,97,,,R,,,90,
Kin22-SunRilHR-1388,Parent,Parent,18.7.4,GA00190-7A14,+,VA-368,1388,2,4/8/2022,98,,,R10,,,85,
Kin22-SunRilHR-1389,UX2013,HILLIARD/GA00190-7A14,18.8.1,UX2013-153,+,.,1389,2,4/7/2022,97,,,R,,,75,
Kin22-SunRilHR-1390,UX2013,HILLIARD/GA00190-7A14,18.8.2,UX2013-206,+,.,1390,1,4/12/2022,102,,,R20,,,80,
Kin22-SunRilHR-1391,UX2013,HILLIARD/GA00190-7A14,18.8.3,UX2013-143,+,.,1391,1,4/14/2022,104,,,S50,,,80,
Kin22-SunRilHR-1392,UX2013,HILLIARD/GA00190-7A14,18.8.4,UX2013-173,+,.,1392,3,4/5/2022,95,,,R,,,90,
Kin22-SunRilHR-1393,UX2013,HILLIARD/GA00190-7A14,18.9.1,UX2013-254,+,.,1393,1,4/21/2022,111,,,R10,,,85,
Kin22-SunRilHR-1394,Parent,Parent,18.9.2,NC08-23383,-,VA-91,1394,2,4/11/2022,101,,,R,,,85,
Kin22-SunRilHR-1395,UX2013,HILLIARD/GA00190-7A14,18.9.3,UX2013-156,+,.,1395,2,4/8/2022,98,,,S40,,,85,
Kin22-SunRilHR-1396,UX2013,HILLIARD/GA00190-7A14,18.9.4,UX2013-157,+,.,1396,3,4/8/2022,98,,,R,,,95,
Kin22-SunRilHR-1397,UX2013,HILLIARD/GA00190-7A14,18.10.1,UX2013-192,+,.,1397,2,4/13/2022,103,,,R10,,,95,
Kin22-SunRilHR-1398,UX2013,HILLIARD/GA00190-7A14,18.10.2,UX2013-244,+,.,1398,2,4/8/2022,98,,,M50,,,75,
Kin22-SunRilHR-1399,UX2013,HILLIARD/GA00190-7A14,18.10.3,UX2013-225,+,.,1399,1,4/9/2022,99,,,M40,,,80,
Kin22-SunRilHR-1400,Parent,Parent,18.10.4,AGS2000,+,GA-81903,1400,3,4/4/2022,94,,,R10,,,95,
Kin22-SunRilHR-1401,UX2013,HILLIARD/GA00190-7A14,18.11.1,UX2013-260,+,.,1401,2,4/22/2022,112,,,S60,,,75,
Kin22-SunRilHR-1402,UX2013,HILLIARD/GA00190-7A14,18.11.2,UX2013-179,+,.,1402,2,4/8/2022,98,,,R10,,,95,
Kin22-SunRilHR-1403,Parent,Parent,18.11.3,GA001138-8E36,+,VA-37,1403,3,4/14/2022,104,,,R,,,100,
Kin22-SunRilHR-1404,UX2013,HILLIARD/GA00190-7A14,18.11.4,UX2013-166,+,.,1404,1,4/13/2022,103,,,R,,,90,
Kin22-SunRilHR-1405,Parent,Parent,18.12.1,LA09264C-P2,+,R-8.1.3,1405,4,3/31/2022,90,,,S70,,,85,
Kin22-SunRilHR-1406,UX2013,HILLIARD/GA00190-7A14,18.12.2,UX2013-214,+,.,1406,1,4/11/2022,101,,,S60,,,85,
Kin22-SunRilHR-1407,UX2013,HILLIARD/GA00190-7A14,18.12.3,UX2013-185,+,.,1407,4,3/31/2022,90,,,S50,,,90,
Kin22-SunRilHR-1408,UX2013,HILLIARD/GA00190-7A14,18.12.4,UX2013-229,+,.,1408,3,4/7/2022,97,,,S40,,,95,
Kin22-SunRilHR-1409,UX2013,HILLIARD/GA00190-7A14,18.13.1,UX2013-222,+,.,1409,2,4/11/2022,101,,,M30,,,95,
Kin22-SunRilHR-1410,UX2013,HILLIARD/GA00190-7A14,18.13.2,UX2013-171,+,.,1410,2,4/10/2022,100,,,R30,,,105,
Kin22-SunRilHR-1411,UX2013,HILLIARD/GA00190-7A14,18.13.3,UX2013-175,+,.,1411,2,4/8/2022,98,,,R10,,,100,
Kin22-SunRilHR-1412,UX2013,HILLIARD/GA00190-7A14,18.13.4,UX2013-155,+,.,1412,2,4/13/2022,103,,,R20,,,90,
Kin22-SunRilHR-1413,UX2013,HILLIARD/GA00190-7A14,18.14.1,UX2013-195,+,.,1413,2,4/14/2022,104,,,S40,,,90,
Kin22-SunRilHR-1414,UX2013,HILLIARD/GA00190-7A14,18.14.2,UX2013-264,+,.,1414,1,4/14/2022,104,,,S40,,,85,
Kin22-SunRilHR-1415,Parent,Parent,18.14.3,Hilliard,+,VA-36,1415,2,4/13/2022,103,,,R10,,,85,
Kin22-SunRilHR-1416,UX2013,HILLIARD/GA00190-7A14,18.14.4,UX2013-201,+,.,1416,1,4/15/2022,105,,,S30,,,90,
Kin22-SunRilHR-1417,UX2013,HILLIARD/GA00190-7A14,18.15.1,UX2013-215,+,.,1417,2,4/12/2022,102,,,S40,,,80,
Kin22-SunRilHR-1418,UX2013,HILLIARD/GA00190-7A14,18.15.2,UX2013-212,+,.,1418,1,4/17/2022,107,,,S60,,,80,
Kin22-SunRilHR-1419,UX2013,HILLIARD/GA00190-7A14,18.15.3,UX2013-234,+,.,1419,1,4/12/2022,102,,,S70,,,85,
Kin22-SunRilHR-1420,UX2013,HILLIARD/GA00190-7A14,18.15.4,UX2013-169,+,.,1420,2,4/19/2022,109,,,R10,,,95,
Kin22-SunRilHR-1421,UX2013,HILLIARD/GA00190-7A14,18.16.1,UX2013-193,+,.,1421,2,4/14/2022,104,,,R,,,90,
Kin22-SunRilHR-1422,Parent,Parent,18.16.2,MPV57,-,R-14.18.3,1422,1,4/18/2022,108,,,R20,,,85,
Kin22-SunRilHR-1423,UX2013,HILLIARD/GA00190-7A14,18.16.3,UX2013-186,+,.,1423,2,4/10/2022,100,,,R30,,,95,
Kin22-SunRilHR-1424,UX2013,HILLIARD/GA00190-7A14,18.16.4,UX2013-181,+,.,1424,3,4/7/2022,97,,,R10,,,90,
Kin22-SunRilHR-1425,UX2013,HILLIARD/GA00190-7A14,18.17.1,UX2013-266,+,.,1425,2,4/15/2022,105,,,S60,,,90,
Kin22-SunRilHR-1426,UX2013,HILLIARD/GA00190-7A14,18.17.2,UX2013-158,+,.,1426,2,4/12/2022,102,,,R10,,,90,
Kin22-SunRilHR-1427,UX2013,HILLIARD/GA00190-7A14,18.17.3,UX2013-146,+,.,1427,2,4/18/2022,108,,,R10,,,88,
Kin22-SunRilHR-1428,UX2013,HILLIARD/GA00190-7A14,18.17.4,UX2013-243,+,.,1428,2,4/10/2022,100,,,R20,,,80,
Kin22-SunRilHR-1429,UX2013,HILLIARD/GA00190-7A14,18.18.1,UX2013-199,+,.,1429,3,4/7/2022,97,,,R20,,,85,
Kin22-SunRilHR-1430,UX2013,HILLIARD/GA00190-7A14,18.18.2,UX2013-204,+,.,1430,2,4/13/2022,103,,,R30,,,100,
Kin22-SunRilHR-1431,UX2013,HILLIARD/GA00190-7A14,18.18.3,UX2013-180,+,.,1431,2,4/20/2022,110,,,M40,,,105,
Kin22-SunRilHR-1432,Parent,Parent,18.18.4,GA05450-EL52,+,R-10.1.2,1432,3,4/7/2022,97,,,R,,,85,
Kin22-SunRilHR-1433,UX2013,HILLIARD/GA00190-7A14,18.19.1,UX2013-239,+,.,1433,2,4/7/2022,97,,,R,,,85,
Kin22-SunRilHR-1434,UX2013,HILLIARD/GA00190-7A14,18.19.2,UX2013-145,+,.,1434,2,4/12/2022,102,,,R10,,,90,
Kin22-SunRilHR-1435,UX2013,HILLIARD/GA00190-7A14,18.19.3,UX2013-150,+,.,1435,1,4/13/2022,103,,,R10,,,85,
Kin22-SunRilHR-1436,UX2013,HILLIARD/GA00190-7A14,18.19.4,UX2013-228,+,.,1436,3,4/1/2022,91,,,S60,,,85,
Kin22-SunRilHR-1437,Parent,Parent,18.20.1,SS8641,-,R-7.1.3,1437,3,4/10/2022,100,,,R,,,95,
Kin22-SunRilHR-1438,UX2013,HILLIARD/GA00190-7A14,18.20.2,UX2013-240,+,.,1438,2,4/10/2022,100,,,S60,,,85,
Kin22-SunRilHR-1439,UX2013,HILLIARD/GA00190-7A14,18.20.3,UX2013-177,+,.,1439,1,4/12/2022,102,,,S40,,,90,
Kin22-SunRilHR-1440,UX2013,HILLIARD/GA00190-7A14,18.20.4,UX2013-148,+,.,1440,3,4/4/2022,94,,,S40,,,90,
Kin22-SunRilHR-1441,Marker,Marker,19.1.1,Barley,+,.,1441,1,4/21/2022,111,,,,,,,
Kin22-SunRilHR-1442,UX2031,NC08-23383/TX12D4896,19.1.2,UX2031-126,-,.,1442,1,4/15/2022,105,,,,,1,65,
Kin22-SunRilHR-1443,UX2031,NC08-23383/TX12D4896,19.1.3,UX2031-74,-,.,1443,3,4/2/2022,92,,,,,0,75,
Kin22-SunRilHR-1444,UX2031,NC08-23383/TX12D4896,19.1.4,UX2031-144,+,.,1444,2,5/4/2022,124,,,,,0,85,
Kin22-SunRilHR-1445,UX2031,NC08-23383/TX12D4896,19.2.1,UX2031-104,-,.,1445,4,4/4/2022,94,,,,,3,95,
Kin22-SunRilHR-1446,UX2031,NC08-23383/TX12D4896,19.2.2,UX2031-141,+,.,1446,2,5/2/2022,122,,,,,0,85,
Kin22-SunRilHR-1447,Parent,Parent,19.2.3,LA09264C-P2,+,R-8.1.3,1447,3,3/29/2022,88,,,,,0,75,
Kin22-SunRilHR-1448,UX2031,NC08-23383/TX12D4896,19.2.4,UX2031-110,-,.,1448,2,4/14/2022,104,,,,,2,95,
Kin22-SunRilHR-1449,UX2031,NC08-23383/TX12D4896,19.3.1,UX2031-62,-,.,1449,2,4/14/2022,104,,,,,0,95,
Kin22-SunRilHR-1450,UX2031,NC08-23383/TX12D4896,19.3.2,UX2031-122,*,.,1450,2,4/11/2022,101,,,,,1,70,
Kin22-SunRilHR-1451,UX2031,NC08-23383/TX12D4896,19.3.3,UX2031-19,+,.,1451,2,5/7/2022,127,,,,,2,85,
Kin22-SunRilHR-1452,UX2031,NC08-23383/TX12D4896,19.3.4,UX2031-72,-,.,1452,2,4/15/2022,105,,,,,1,85,
Kin22-SunRilHR-1453,Parent,Parent,19.4.1,ARGA051160-14LE31,-,GA-81930,1453,3,4/11/2022,101,,,,,1,95,
Kin22-SunRilHR-1454,UX2031,NC08-23383/TX12D4896,19.4.2,UX2031-129,-,.,1454,3,4/4/2022,94,,,,,2,90,
Kin22-SunRilHR-1455,UX2031,NC08-23383/TX12D4896,19.4.3,UX2031-131,-,.,1455,2,5/6/2022,126,,,,,4,85,
Kin22-SunRilHR-1456,UX2031,NC08-23383/TX12D4896,19.4.4,UX2031-66,-,.,1456,3,4/24/2022,114,,,,,1,80,
Kin22-SunRilHR-1457,UX2031,NC08-23383/TX12D4896,19.5.1,UX2031-119,-,.,1457,4,4/1/2022,91,,,,,2,85,
Kin22-SunRilHR-1458,UX2031,NC08-23383/TX12D4896,19.5.2,UX2031-76,-,.,1458,3,4/3/2022,93,,,,,1,95,
Kin22-SunRilHR-1459,UX2031,NC08-23383/TX12D4896,19.5.3,UX2031-35,-,.,1459,4,3/31/2022,90,,,,,3,80,
Kin22-SunRilHR-1460,UX2031,NC08-23383/TX12D4896,19.5.4,UX2031-114,-,.,1460,4,3/29/2022,88,,,,,1,75,
Kin22-SunRilHR-1461,UX2031,NC08-23383/TX12D4896,19.6.1,UX2031-112,-,.,1461,2,3/28/2022,87,,/storage/emulated/0/fieldBook/plot_data/Kin22-SunRils-T1-T30/photos/Kin22-SunRilHR-1461_picture_1_2022-03-28-11-16-26.jpg,,,0,70,
Kin22-SunRilHR-1462,UX2031,NC08-23383/TX12D4896,19.6.2,UX2031-82,+,.,1462,3,3/27/2022,86,,,,,1,70,
Kin22-SunRilHR-1463,UX2031,NC08-23383/TX12D4896,19.6.3,UX2031-79,-,.,1463,4,3/26/2022,85,,,,,0,70,
